Unnamed: 0,word,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005
26,what,0.15327714247103288,-1.5323149770825106,-1.7319159685986303,-0.8263027189910381,-1.4251336773814205,-1.77414852381856,-1.9811256412833598,-1.0268038773997055,-1.2021006915541799,-0.830644860939991,-1.6103474145041905,-1.0907500357491426,-0.4724594470891142,-1.387549792485024,-0.944174710839392,-1.4181729519054778,-0.5771750484154303,-0.49960572822545224,-0.4141825398386944,1.1497355998614647,-0.6405360044551508,2.1943384797334584
27,me,1.1073491517369696,-1.381462519370073,-1.8404869840765898,-0.7747787023857109,-1.6135369802229607,-1.0443975206114333,-1.3614281081851063,-1.0671411298123916,-0.7174583550870445,-1.1575218267277398,-0.576454953973187,-0.9586247132724617,-0.876492880477511,-1.3151204210941312,-1.1359752736828785,-0.9551482454971547,-0.961304195536526,-0.9294390509783423,-0.1988402561385884,-0.6190130672607412,-0.6765447630703467,0.6758603088033248
28,is,1.1073491517369696,-0.9517922473784489,-0.22464108889759693,-0.7590782579738353,-1.1581973208397596,-1.0817432704279006,-0.8469750787290586,-1.3676994534774636,-0.5598262160091788,-1.1328893205395025,-0.7430495891508281,0.014267589876123803,0.8609988561463615,-0.2570863153953071,-0.9368889432940112,-0.31438145699032166,-0.5691038955408463,0.06374281965541836,-0.1239762572375428,-0.6083936485740712,-0.562979675744771,0.5031872806255547
29,did,-1.754866876052247,-1.4546708618602118,-0.8651184250359977,-0.8261497319472789,-1.457648542653345,-0.9125156942314996,-0.9396192050686694,-1.2121001076088236,-0.6143962252033562,-1.3753748782252848,-1.232620264837853,-0.7611718218705076,0.1935448640752619,-0.8505815572452439,-0.9152909775521355,-0.6082662217207336,0.26423401249552053,0.1449952885772824,-0.8177044248082255,-0.4195950787979932,0.19183428724465992,1.371743506077787
30,know,-1.754866876052247,-1.0386798609530754,-0.6057512929745837,-0.8161920264633445,-0.32468759724379276,-1.1319288732200181,-1.563342350518299,-1.0492187215544806,-0.5934696054801135,-0.9647665861580804,-0.5019598831380764,-0.46959784311539854,-0.382920508038638,-0.5574350519536017,-0.09165994539739208,-0.7037135430122314,-0.21750226005624812,-0.13295990570267477,-1.171232620008007,-0.4799680653049161,0.4021345307191749,0.5449784859601425
31,they,-1.754866876052247,-0.5335158697761776,-1.379024383493485,0.06791005877126237,-1.1038805018303093,-1.0253486643652356,-0.8406658188078994,-0.9695341530249741,-1.0356527931237514,0.23558547478740477,0.24952922233420266,-0.13521760876619543,-0.7458751859179118,-0.2579816740520477,-0.310213686849504,-0.7473442905765614,0.036884051532593685,0.33324455540734205,0.3987768900625278,-0.23223809944615625,1.0834083372646597,1.5976674029781401
32,my,0.15327714247103288,-1.1551447884233779,-1.4513430645415377,-1.2301833238140882,-1.8977996068352623,-1.518227440256017,-1.870504585394903,0.01490860106979878,-1.0279560920382536,-1.1662497710229538,-0.9475733865075193,-0.38767133290739114,-0.839515157140716,-0.9274183481786902,-0.3727708309223656,-0.7046346886379821,-0.37705076581428953,0.3147965929607426,-0.4709477467796891,0.05911753011410025,-0.6251895343790211,1.6976172057669499
33,out,-1.754866876052247,0.06531673444285996,-0.05783595381838666,0.11229376504640365,-0.087727259277601,-0.18056254495846813,-0.4032981934235971,-0.9318463625197273,-0.3438712559864165,-0.6158176158437887,-0.7932658069278816,-1.4163432032918761,-0.19344655211217382,-0.2920880419472572,-0.40680113023075715,-0.4864167061261675,-0.730728896851997,-0.46162077201663565,-0.48182755714007913,-0.27973552074327646,-0.2473357172627469,0.3978806981221616
34,would,0.15327714247103288,0.023664024707456953,-0.4966066704163208,-0.7279610491422464,-0.6417194452452126,0.3541581766384742,0.09725909744915665,0.023386708521054764,-0.8063661166257236,-0.709313632257749,-0.7195729665367429,-0.7288598873918702,-0.46042191693142,-0.8461045515462714,-0.0079614565389595,-0.02064671646487907,-0.4001289755744949,-0.1403222348465215,0.24069614049106652,-0.7752094196259987,-0.37587121730685263,-0.6005035592552428
35,we,0.15327714247103288,-0.47945717340043864,-0.41321413289371084,-0.9617228898319359,-0.3513076385576117,-0.5773317756549454,-1.0329224952571914,-1.0516753260577685,-0.38919316164066714,-0.5725018299314262,-0.47913920069741384,-1.2400202149225237,-1.1410704080159588,-0.7417244814029899,-0.7480602680706222,-0.9810560819836007,-0.123180896419143,0.38310832854728344,-0.29955026743161134,-0.5247914668408111,0.1838438637897955,1.8003377958205176
